student1,student2,student3,student4,student5,student6,student7,student8,student9,student10,student11,student12,student13,student14,student15,student16,student17,student18,student19,student20
7.25,28.5,24.0,22.75,22.25,26.0,18.5,12.5,17.75,15.25,18.25,13.5,21.0,15.75,24.0,19.0,18.75,27.0,20.25,15.5
0.25,3.25,2.25,4.5,1.25,2.25,1.5,4.75,3.0,3.5,2.25,1.0,1.75,3.25,0.75,1.0,2.75,1.75,2.0,1.75
0.5,1.0,1.25,2.0,2.0,1.0,1.75,0.75,0.5,1.25,1.25,1.75,1.0,1.25,0.25,1.25,0.5,2.0,1.0,0.75
0.25,0.25,1.0,1.5,0.5,1.0,0.5,2.0,1.25,2.0,0.0,1.5,0.75,0.5,0.25,2.0,0.25,0.0,0.0,1.0
0.75,3.75,2.0,3.25,0.75,2.0,3.0,1.5,1.75,3.0,2.0,1.75,1.0,3.5,3.5,1.5,1.5,3.0,4.75,1.75
0.25,0.75,1.0,1.0,0.5,0.5,0.5,1.5,1.0,1.75,0.5,0.25,0.5,0.75,1.0,0.25,0.5,1.25,0.75,0.75
0.5,0.75,0.5,0.25,1.25,0.5,1.25,1.5,1.0,0.25,0.25,1.0,0.25,1.25,1.5,0.75,1.0,0.25,1.0,1.0
0.25,0.0,2.0,0.25,1.0,0.0,1.25,2.0,4.25,0.5,1.25,0.5,0.75,1.25,0.25,2.0,0.0,0.0,0.5,0.75
1.5,6.75,3.25,3.75,4.25,5.0,7.75,0.75,2.0,5.75,4.25,3.25,4.5,6.5,4.25,4.5,4.5,5.25,6.25,4.0
0.75,1.25,0.25,1.75,0.25,1.25,0.5,0.25,1.75,1.25,1.0,0.25,1.0,1.0,1.25,1.25,0.5,0.5,1.25,0.75
0.0,0.75,0.5,0.5,0.25,0.5,0.25,0.75,0.0,1.0,0.0,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.0
0.0,0.5,0.5,0.75,0.5,0.0,0.0,0.0,0.25,1.0,0.25,0.0,0.25,0.75,0.5,0.5,1.0,0.25,1.25,0.25
0.25,0.75,0.0,0.5,1.75,0.25,1.5,0.75,0.5,0.25,1.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,1.0,0.75
0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.25,0.0,1.0,0.0,0.75,0.0,0.25,0.25,0.0,0.25,0.0
0.25,0.25,0.0,0.5,0.75,0.0,0.0,0.25,0.25,0.75,0.0,0.25,0.0,0.75,0.0,0.0,1.0,0.75,0.5,0.25
1.0,0.0,0.5,0.0,1.75,0.25,0.25,1.5,2.25,1.5,0.25,0.0,0.5,1.0,0.25,1.25,0.25,0.5,0.5,0.5
3.75,3.75,3.0,2.5,2.0,2.0,4.25,1.0,2.0,1.5,3.0,2.0,4.0,4.0,3.0,2.5,4.0,4.5,5.0,3.25
0.25,0.75,0.5,1.0,1.25,1.25,0.5,0.0,0.75,0.5,1.5,0.5,1.0,0.25,0.5,0.25,0.5,0.5,0.25,0.75
0.25,0.0,0.0,0.0,0.25,0.5,0.5,0.25,0.25,0.0,0.25,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.0
0.0,0.0,0.0,0.5,1.0,0.25,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.75,0.5,0.0,0.25,0.25,0.0
0.5,1.25,0.75,0.5,0.75,1.75,1.5,0.0,0.25,1.25,1.25,0.25,0.75,0.75,1.75,0.25,0.25,0.25,1.5,0.75
0.0,1.0,0.25,0.75,0.5,0.5,0.0,0.75,0.25,0.0,0.25,0.5,0.75,0.0,1.25,0.0,0.25,1.0,0.75,0.25
0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1.25,0.25
0.25,0.5,0.0,0.75,0.5,0.5,0.0,0.75,0.0,0.75,0.5,0.0,0.0,0.5,0.5,0.5,0.25,0.5,0.25,0.75
2.25,0.25,1.0,0.25,1.5,1.0,3.25,0.5,0.0,1.0,1.25,1.75,0.5,1.25,0.75,0.25,1.25,0.75,2.0,1.0
0.0,1.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.5,0.25,0.25,0.25
0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.25,0.25,0.5
0.5,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
1.5,0.25,0.25,0.0,1.5,0.0,0.0,0.5,0.0,0.25,0.75,2.0,0.0,0.25,0.0,0.5,0.0,0.75,0.5,0.25
0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
0.75,0.25,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.25,0.0,1.75,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0
0.5,0.25,0.0,0.0,0.25,0.25,0.0,1.75,0.75,0.0,1.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0
